State,LGA,"School Code","School Name","Level of Education",Sector,"Level Offered"
ANAMBRA,AGUATA,4010282,"FIRST HILL SECONDARY SCHOOL","Junior Secondary",PRIVATE,"JSS AND SSS"
OGUN,IFO,27051492,"FIRST HONOUR COLLEGE","Junior Secondary",PRIVATE,"JSS AND SSS"
LAGOS,IKORODU,24122767,"FIRST IMMACULATE PRIVATE SCHOOL (SECONDARY)","Junior Secondary",PRIVATE,"JSS AND SSS"
OGUN,IMEKO-AFON,27110174,"FIRST INCLUSIVE MODEL COLLEGE","Junior Secondary",PRIVATE,"JSS AND SSS"
RIVERS,OBIO-AKPOR,32152399,"FIRST INTERNATIONAL ACADEMY ","Junior Secondary",PRIVATE,"JSS AND SSS"
DELTA,UGHELLI-NORTH,10190571,"FIRST INTERNATIONAL SCHOOL,  UGHELLI ","Junior Secondary",PRIVATE,"JSS ONLY"
LAGOS,IKORODU,24122693,"FIRST KAZ COLLEGE NO 13 ASABI MUDASHIRU STR LAMBO LASUNWON OPPOSITE LASPOTECH 2ND GATE IKORODU","Junior Secondary",PRIVATE,"JSS AND SSS"
NASARAWA,KARU,25040336,"FIRST KINGDOM KIDS INTERNATIONAL SECONDARY SCHOOL, MARARABA","Junior Secondary",PRIVATE,"JSS AND SSS"
OGUN,OBAFEMI-OWODE,27131522,"FIRST LEGACY INTERNATIONAL SCHOOL ","Junior Secondary",PRIVATE,"JSS AND SSS"
IMO,OWERRI-NORTH,16260367,"FIRST LIGHT SCHOLARS COLLEGE","Junior Secondary",PRIVATE,"JSS ONLY"
KADUNA,KACHIA,18080500,"FIRST LUBERATION ACADEMY KATARI","Junior Secondary",PRIVATE,"JSS ONLY"
EKITI,ADO-EKITI,13011373,"FIRST MARK STASTAFF SECONDARY SCHOOL","Junior Secondary",PRIVATE,"JSS ONLY"
